stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
759733,"627","Hendersonville Rd at Caribou Rd","",35.536217,-82.529035,0,,0,,
759732,"626","Caribou Rd at Hendersonville Rd","",35.536521,-82.528905,0,,0,,
759731,"625","Caribou Rd at Forestdale Rd","",35.538572,-82.526793,0,,0,,
759730,"624","Caribou Rd at Dawnwood Cir","",35.541478,-82.527482,0,,0,,
759729,"623","Caribou Rd at Forest St","",35.543395,-82.527809,0,,0,,
759728,"622","Caribou Rd at Taft Ave","",35.545915,-82.525527,0,,0,,
759727,"621","Shiloh Rd at Caribou Rd","",35.548378,-82.525567,0,,0,,
759726,"620","Shiloh Rd at Kent St","",35.548788,-82.527455,0,,0,,
759725,"619","Shiloh Rd at Brooklyn Rd","",35.548594,-82.529415,0,,0,,
759724,"618","W Chapel Rd at White Ave","",35.551064,-82.530442,0,,0,,
759723,"617","London Rd at W Chapel Rd","",35.551298,-82.532463,0,,0,,
759722,"616","London Rd at Raleigh Ave","",35.554797,-82.532449,0,,0,,
759721,"615","London Rd at Iris Dr","",35.558332,-82.533456,0,,0,,
759720,"614","London Rd at Belvedere Rd","",35.561162,-82.534614,0,,0,,
759719,"613","London Rd at Shady Oak Dr","",35.563493,-82.537314,0,,0,,
759718,"612","Sweeten Creek Rd at London Rd","",35.565793,-82.538699,0,,0,,
759715,"609","Biltmore Ave at Meadow Rd","",35.569949,-82.544883,0,,0,,
759907,"806","Haywood Rd at Avon Ave","",35.581994,-82.572193,0,,0,,
759702,"591","Biltmore Ave at Roebling Cir","",35.572208,-82.545265,0,,0,,
759714,"608","Biltmore Ave at Doctors Dr","",35.576084,-82.547342,0,,0,,
759523,"225","Merrimon Ave at Beaver Point Park","",35.632,-82.55431,0,,0,,
759524,"226","Merrimon Ave at Wembley Rd","",35.63483,-82.556929,0,,0,,
759525,"227","Merrimon Ave at Midland Dr","West Intersection with Midland Dr",35.636152,-82.566113,0,,0,,
759526,"228","Merrimon Ave at Stratford Rd","",35.637105,-82.570981,0,,0,,
759527,"229","Elkwood Ave at Merrimon Ave","",35.637153,-82.575002,0,,0,,
759528,"230","Elkwood Ave at Northridge Dr","",35.634934,-82.575511,0,,0,,
759529,"231","Elkwood Ave at Valley Park Rd","",35.632396,-82.576033,0,,0,,
759530,"232","Lakeshore Dr at Elkwood Ave","",35.629777,-82.574842,0,,0,,
759531,"233","Lakeshore Dr at Westwood Rd","",35.630853,-82.569791,0,,0,,
759532,"234","Lakeshore Dr at Glenview Rd","",35.63128,-82.566891,0,,0,,
759533,"235","Lakeshore Dr at Pine Tree Cir","",35.632292,-82.560504,0,,0,,
759534,"236","Lakeshore Dr at Mt Vernon Pl","",35.628953,-82.555656,0,,0,,
759535,"237","Lakeshore Dr at Merrimon Ave","",35.626986,-82.553435,0,,0,,
759583,"318","Patton Ave at Otis St","",35.593968,-82.556701,0,,0,,
759582,"317","Patton Ave at S French Broad Ave","",35.593513,-82.558879,0,,0,,
759581,"316","Patton Ave at Clingman Ave","",35.592914,-82.561859,0,,0,,
759580,"315","Montford Ave at Haywood St","",35.596253,-82.559367,0,,0,,
759579,"314","Hill St at Montford Ave","",35.597004,-82.560174,0,,0,,
759578,"313","Hill St at Isaac Dickson Elementary","",35.594229,-82.564078,0,,0,,
759577,"312","Hill St at Cross Pl","",35.593673,-82.567695,0,,0,,
759576,"311","Atkinson St at Hill St","",35.595543,-82.568946,0,,0,,
759575,"310","Atkinson St at Building 1","",35.595005,-82.57038,0,,0,,
759574,"309","Atkinson St at Building 24","",35.592303,-82.569765,0,,0,,
759573,"308","Atkinson St at Community Center","",35.595143,-82.570723,0,,0,,
759572,"307","Atkinson St at Hill St","",35.595614,-82.569034,0,,0,,
759571,"306","Hill St at Cross Pl","",35.593779,-82.567649,0,,0,,
759570,"305","Hill St at Isaac Dickson Elementary","",35.594266,-82.564211,0,,0,,
759805,"699","Hendersonville Rd at Rock Hill Rd","",35.533598,-82.527989,0,,0,,
759806,"700","Hendersonville Rd at Eastwood Rd","",35.528565,-82.529226,0,,0,,
759807,"701","Hendersonville Rd at Carolina Day School","",35.523948,-82.529685,0,,0,,
759808,"702","Hendersonville Rd at Lambeth Dr","",35.513018,-82.527221,0,,0,,
759809,"703","Hendersonville Rd at Peachtree Rd","",35.510633,-82.526591,0,,0,,
759810,"704","Hendersonville Rd at Weirbridge Rd","",35.507834,-82.525877,0,,0,,
759811,"705","Hendersonville Rd at Sisters of Mercy Urgent Care","",35.503457,-82.524169,0,,0,,
759812,"706","Hendersonville Rd at Gerber Rd","",35.502428,-82.523565,0,,0,,
759813,"707","Hendersonville Rd at Mills Gap Rd","",35.499507,-82.521722,0,,0,,
759814,"708","Hendersonville Rd at Springside Rd","",35.48949,-82.524061,0,,0,,
759815,"709","Hendersonville Rd at Long Shoals Rd","",35.48444,-82.525625,0,,0,,
759816,"710","Hendersonville Rd at Linamar Entrance","",35.479967,-82.524611,0,,0,,
759896,"795","Hendersonville Rd at Blake Dr","",35.477297,-82.523741,0,,0,,
759817,"711","Hendersonville Rd at Heywood Rd","",35.473125,-82.522147,0,,0,,
759818,"712","Hendersonville Rd at Glenn Bridge Rd","",35.465926,-82.51663,0,,0,,
759819,"713","Hendersonville Rd at Buck Shoals Rd","",35.461768,-82.51372,0,,0,,
759820,"714","Hendersonville Rd at New Airport Rd","",35.460046,-82.512502,0,,0,,
759821,"715","New Airport Rd at Old Shoals Rd","",35.4581904048341,-82.5190229388313,,,0,,
759822,"716","New Airport Rd at WalMart","",35.454077,-82.522552,0,,0,,
759823,"717","New Airport Rd at Bradley Branch Rd","",35.451203,-82.525991,0,,0,,
