aggregation,city_bounded,city_name,formatted_value,id,route_id,route_type,sample_period,type,value,version
route,False,Chicago,1.0,1395,82,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1396,49,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1397,6,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1398,126,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1399,36,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1400,95W,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.6,1401,1,0,alltime,num_routes,0.595238095238095,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1402,J14,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.71,1403,39,0,alltime,num_routes,0.714285714285714,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1404,60,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1405,8A,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1406,Pink,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1407,47,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1408,111,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.65,1409,96,0,alltime,num_routes,0.654761904761905,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.6,1410,55A,0,alltime,num_routes,0.595238095238095,4dd05d5e-b859-4b04-bbfb-4b3bac872151
